                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,Character,DelayAtEnd,Expression,French,English,German,Spanish,Brasilian,Chinese,Italian,Russian,Korean,Japanese
Chap03_LetterFall01,Narrator,0.2,,Vous osez piller le cri de M. Wilhelm ?,Ne cüretle Bay Wilhelm'in çığlığından bir harf çalarsın?,"Wie kannst du es wagen, etwas aus Mr. Wilhelms Schrei zu stehlen?",¿Cómo te atreves a robar el grito del Mr. Wilhelm?,Como você ousa roubar do grito do Sr. Wilhelm?,你怎么敢从威廉尖叫那偷“啊”（H） ？,Come osi rubare dall'urlo di Mr. Wilhelm?,Как ты посмел воровать из крика мистера Вильгельма?,어떻게 윌헬름씨의 비명에서 H를 훔칠 수가 있어요?!,ウィルヘルムさんの悲鳴の字を盗むなんて！
Chap03_LetterFall02,Narrator,5,,Remettez ce H à sa place !,O H harfini yerine koy!,Leg das H wieder zurück!,¡Devuelve esa H!,Coloque esse H de volta!,把那个H（啊）放回去！,Rimetti a posto quella H!,"Верни ""H"" обратно!",돌려놔요!,そのHは戻してこい！
Chap03_LetterFall03,Narrator,0,,Vous n'avez rien à faire avec cette lettre H.,O harfle yapacak hiçbir işin yok!,Dieses H steht dir nicht zu.,No tienes nada que hacer con esta H.,Você não tem nada pra fazer com a letra H dele.,你无权动这个H字母。,Non ti serve a niente quella lettera H.,"Тебе нечего делать с буквой ""H"".",문자 가지고는 아무 것도 할 거 없어요.,そんなの持っててもしょうがないだろ。
Chap03WilhelmHit01,Sherluck,0.5,,Le pauvre homme.,Vah zavallı.,Arme Seele.,Pobre hombre.,Coitado.,可怜的人哪。,Poveraccio.,Бедолага.,불쌍하기도 해라.,気の毒に。
Chap03WilhelmHit02,Sherluck,0,,Il a l'air de souffrir le martyr.,Canı çok yanıyor gibi.,Das sieht schmerzhaft aus.,Parece que le duele mucho.,Parece doloroso.,他看上去很痛苦呀。,Sembra doloroso.,"Кажется, он страдает.",아프시겠군.,痛そうだな。
Chap03WilhelmHit03,WhatsUp,0,,Je n'en peux plus d'entendre ce cri.,Onun çığlıklarına dayanamıyorum.,"Ich ertrage es nicht, ihn schreien zu hören.",No soporto oírle gritar.,Eu não suporto o grito dele.,我不能忍受他的尖叫。,Non sopporto di sentirlo urlare.,Я не могу слушать его вопли.,비명소리를 그냥 듣고있지는 못하겠군.,こんな悲鳴は聞くにたえない。
Chap03WilhelmHit04,WhatsUp,0,,"Achevez-le avec votre Bartitsu, Holmes. C'est insupportable.","Bartitsu tekniklerinle onu hallet, Holmes. Bu dayanılmaz olmaya başladı.","Erledige ihn mit deinem Bartitsu, Holmes. Es ist unerträglich.","Acabe con él con su bartitsu, Holmes. Es insoportable.","Finalize-o com o seu Bartitsu, Holmes. É insuportável.",真受不了。用你的巴顿术干掉他吧，福尔摩斯。,"Lo finisca con il suo Bartitsu, Holmes, è insopportabile.","Прикончите его своим Бартитсу, Холмс. Это невыносимо.","바티츠로 끝내드리게, 홈즈. 참을 수가 없군.",バリッツでとどめをさしてやれ、\nホームズ。楽にしてやろう。
Chap03_LoupeSpotted01,Narrator,0.2,,Vous venez de leur chiper leur loupe.,Onların büyütecini çaldın.,Du hast gerade ihr Vergrößerungsglas gestohlen.,Les has birlado la lupa.,Você acabou de pegar a lupa deles.,你刚偷了他们的放大镜。,Hai rubato la loro lente d'ingrandimento.,Ты просто забрал их лупу.,돋보기를 훔쳐버리면 어떻게 해요.,虫メガネをくすねたな。
Chap03_LoupeSpotted02,Narrator,0.5,,Le poing ne vous suffisait pas !,Yumruk yetmedi mi?,Die Faust war dir nicht genug!,¡No te bastaba con el puño!,O punho já não tinha sido o bastante para você?!,拳头对你来说还不够吗？,Il pugno non ti è bastato!,Кулака было недостаточно?,주먹으로도 안 충분했던가요!,ゲンコツだけじゃ足りないのか！
Chap03_LoupeSpotted03,Narrator,0,,J'espère juste qu'ils ne s'en rendront pas compte.,Umarım bunu farketmezler.,"Ich hoffe, sie finden es nicht heraus.",Solo espero que no se den cuenta.,Eu espero que eles não descubram.,我只是希望他们不会察觉。,Spero solo che non se ne accorgano.,"Буду надеяться, что они ничего не заметят.",저들이 알아채지 못하길 바라야겠네요.,あいつらにバレないことを祈ろう。
Chap03IntroPhone01,Sherluck,0.5,,Quel était ce bruit de clochettes ?,O zil sesi de neydi?,Was war das für ein glockenartiges Geräusch?,¿Qué era el ruido ese como de campana?,Que barulho de sino tocando foi esse?,那个像铃铛声的是什么？,Cos'era quel rumore di campanella?,"Что это был за звук, похожий на колокол?",종 소리 같은 게 들리는데?,何だ、この呼び鈴みたいな音は？
Chap03IntroPhone02,WhatsUp,0.5,,Je crois que cela venait de cet appareil bizarre.,Sanırım şu garip cihazdan geldi.,"Ich glaube, es kam von diesem seltsamen Apparat.",Creo que procedía de este extraño dispositivo.,Eu acho que veio desse dispositivo estranho.,我觉得声音是从这个古怪的设备传出来的。,Penso che provenga da questo strano dispositivo.,"Я думаю, он исходил от этого странного устройства.",이 수상한 장치에서 들리는 거 같군.,その変な機械から出てるようだが。
Chap03IntroPhone03,Sherluck,0.5,,Ha oui ! Mr Wilhelm m'en avait parlé.,Oh evet! Bay Wilhelm bana bundan bahsetmişti.,Oh ja! Mr. Wilhelm hat mir davon erzählt.,"¡Oh, sí! Mr. Wilhelm me habló de él.","Ah, sim! O Sr. Wilhelm me contou sobre ele.",噢，是的！威廉先生跟我说过。,Oh sì! Mr. Wilhelm me ne ha parlato.,Точно! Мистер Вильгельм рассказывал мне о нём.,아 그래! 윌헬름씨가 말씀해주셨지.,ああ！ 前に\nウィルヘルムさんから聞いた。
Chap03IntroPhone04,Sherluck,0.5,,Il s'agit d'un prototype de télettrophone d'Antonio Meucci.,Bu Antonio Meucci'nin teletrofonunun bir prototipiymiş.,Das ist ein Prototyp von Antonio Meuccis Telettrophon.,Es un prototipo del teletrófono de Antonio Meucci.,É um protótipo do teletrofone de Antonio Meucci.,那是安东尼奥·穆齐的电话的原型。,È un prototipo del telettrofono di Antonio Meucci.,Это прототип телетрофона Антонио Меуччи.,안토니오 무치씨가 만든 전화기의 원형이로군.,アントニオ・メウッチ式\n伝声機の試作品だ。
Chap03IntroPhone05,Sherluck,0.5,,Cela permet de discuter instantanément à distance avec une autre personne.,Uzaktaki bir insanla anında iletişime geçebilmeni sağlıyormuş.,Damit kannst du dich sofort mit einer Person weit weg unterhalten.,Permite comunicarse instantáneamente a distancia con otra persona.,Ele permite que você se comunique instantaneamente com outra pessoa à distância.,这样就能跟远处的人即时聊天了。,Permette di comunicare con un'altra persona a distanza in modo istantaneo.,Он позволяет мгновенно общаться с другим человеком на расстоянии.,즉시 멀리 떨어진 곳에 있는 사람과 대화할 수 있게 해주지.,これを使うと遠く離れた相手と\nすぐさま話ができる。
Chap03IntroPhone06,WhatsUp,0.5,,Waouh ! Et combien d'exemplaires existe-t-il ?,Kaç tane varmış peki?,Verstehe! Und wie viele davon gibt es?,¡Cáspita! ¿Y cuántos hay en el mundo?,Sim! E quantos deles existem?,唷！这样的设备有几个呢？,Ma no! E quanti ne esistono?,Удивительно! И сколько таких существует?,세상에! 그럼 이 전화기는 얼마나 있는 건가?,ほ、ほう！ それは何台あるのかい？
Chap03IntroPhone07,Sherluck,0.2,,C'est le seul et unique.,Türünün tek örneği bu.,Das ist das einzige seiner Art.,Es el único.,Esse é o único.,就这一个。,Questo è l'unico.,Он единственный в своём роде.,이거 하나 뿐이야.,ここにある1台だけだ。
Chap03IntroPhone08,WhatsUp,0.2,,Donc ça ne sert à rien.,Yani işe yaramaz.,Also ist es nutzlos.,"Es decir, que es inútil.",Então não serve pra nada.,那就没什么用了。,Quindi è inutile.,"Значит, он бесполезен.",그렇다면 쓸모 없군.,じゃあ役に立たないな。
Chap03IntroPhone09,Sherluck,0.2,,Ça ne sert à rien.,Evet öyle.,Es ist nutzlos.,No sirve para nada.,Não serve pra nada.,是没用的。,È inutile.,Он бесполезен.,쓸모 없지.,役立たずだ。
Chap03_RailsTips01,Narrator,0.2,,"Si vous comptiez déplacer ce faux mur, c'est râpé.",Eğer o sahte duvarı hareket ettirmeyi düşünüyorsan bunu unutabilirsin.,"Wenn du daran gedacht hast, diese falsche Wand zu bewegen, dann vergiss es.","Si estabas pensando en mover esa falsa pared, olvídalo.","Se você está pensando em mover aquela parede falsa, nem se dê o trabalho.",如果你想着要移动那堵假墙，那还是算了吧。,"Se stavi pensando di spostare quel finto muro, scordatelo.","Если ты хотел передвинуть эту поддельную стену, забудь об этом.","저 가짜 벽을 움직일 생각이라면, 포기해요.",その壁をどかすつもりなら、あきらめるんだな。
Chap03_RailsTips02,Narrator,0.2,,La trace au sol indique qu'il manque un morceau de rail.,Yerdeki işaretler bir ray parçasının eksik olduğunu gösteriyor.,"Die Spuren auf dem Boden weisen darauf hin, dass ein Stück der Schiene fehlt.",Las marcas en el suelo indican que falta un trozo de raíl.,As marcas no chão mostram que uma parte do trilho está faltando.,地上的痕迹显示有一块铁轨丢了。,I segni a terra mostrano che manca un pezzo di rotaia.,"По этому пропуску видно, что кусок рельс отсутствует.",바닥에 남은 자국을 보니 선로가 비어있어요.,床の跡を見ろ、レールが足りないんだ。
Chap03_RailsTips03,Narrator,1,,Ou bien une lettre de l'alphabet.,Ya da alfabedeki bir harfin.,Oder ein Buchstabe des Alphabets.,O una letra del alfabeto.,Ou uma letra do alfabeto.,也像是缺了字母表上的一个字母。,O una lettera dell'alfabeto.,Или буква алфавита.,아니면 알파벳이라든가요.,アルファベットの文字にも見えるが。
Chap03_RailsTips04,Narrator,0,,Je miserais plutôt sur un morceau de rail.,Benim oyum ray parçasından yana.,"Ich wette, es ist ein Stück Schiene.",Apuesto a que un trozo de raíl.,Eu aposto no trilho.,我赌...是缺了一跟铁轨。,Scommetterei su un pezzo di rotaia.,Делаю ставку на рельсы.,뭐든 선로가 될만한 게 하나만 있으면 되겠어요.,俺はレールの方に賭ける。
Chap03railRepaired01,Narrator,0.2,,Attendez.,Bekle.,Warte.,Espera.,Espera aí.,等一下。,Aspetta.,Стоп.,잠깐.,おい。
Chap03railRepaired02,Narrator,0.5,,Vous venez d'utiliser la lettre d'une onomatopée pour réparer un rail ?,Az önce rayı tamir etmek için söz baloncuğundaki harfi mi kullandın?,"Hast du etwa gerade den Buchstaben einer Onomatopöie genutzt, um eine Schiene zu reparieren?",¿Acabas de usar una letra de una onomatopeya para arreglar un raíl?,Você acabou de usar a letra de uma onomatopeia para consertar um trilho?,你刚有用一个拟声词的一个字母来修铁轨吗？,Hai appena usato la lettera di un'onomatopea per aggiustare una rotaia?,"Ты только что использовал букву из междометия, чтобы починить рельсы?",방금 의성어에서 문자를 가져다가 선로를 고친 건가요?,欠けたレールを描き文字でつなぐだと？
Chap03railRepaired02b,Narrator,0.2,,Mais ça n'a pas de sens !,Ama bu hiç mantıklı değil!,Aber das ergibt doch keinen Sinn!,¡Pero eso no tiene ningún sentido!,Isso não faz sentido algum!,但那完全说不通啊！,Ma non ha alcun senso!,В этом нет никакого смысла!,말도 안 되잖아 이거!,まったく理屈もなにもないな！
Chap03railRepaired03,Narrator,0,,"Autant utiliser, je ne sais pas, un singe...",Yani bunu yapabiliyorsan bir hidrolik pompayı çalıştırmak için de...,"Du könntest genau so gut, ich weiß nicht, einen Affen benutzen ...","Podrías haber usado también, no sé... un mono...","Já que é assim, você pode muito bem, sei lá, usar um macaco...",你还不如，呃..用一只猴子...,"Allora potresti usare, che so, una scimmia...","Ты мог бы так же использовать, не знаю, обезьяну...","나중에 가면, 모르겠다, 원숭이 한 마리 가지고...",あんたならきっと、油圧ポンプだって…
Chap03railRepaired04,Narrator,0.5,,"... pour actionner une pompe hydraulique, tiens !",...bir maymun kullanabilirsin!,... um eine Hydraulikpumpe zu bedienen!,...¡para hacer funcionar una bomba hidráulica!,...para fazer uma bomba hidráulica funcionar!,...来操作液压泵！,...per far funzionare una pompa idraulica!,...чтобы починить гидронасос!,...막 수압 펌프도 돌리시겠네!,サル一匹で直すんだろうな！
Chap03railRepaired05,Narrator,1,,C'est stupide !,Bu aptalca!,Das ist bescheuert!,¡Es una idiotez!,Que besteira!,真蠢！,È stupido!,Это тупо!,말도 안 되잖아!,バカげてる！
Chap03railRepaired06,Narrator,0.5,,Mais ce qui me déprime le plus...,Ama bana batan şey şu ki...,"Aber was mich wirklich ärgert, ist ...",Pero lo que más me fastidia...,Mas o que mais me intrigou é...,但真正让我郁闷的是...,Ma quello che mi fa davvero arrabbiare è...,Но меня действительно беспокоит то...,근데 정말 화나는 점은...,だが何が一番しゃくにさわるって…
Chap03railRepaired07,Narrator,0,,... c'est que ça fonctionne... ,...işe yarıyor...,... dass es funktioniert ...,...es que funciona...,...que funcionou...,...那还真有用...,...che funzioni...,...что это работает...,...이게 먹힌다는 거예요...,それでうまくいくことだ。
Chap03LostLoupe01,Sherluck,0.2,,"Puisque je vous dis que j'avais ma loupe dans la main, Watson !","Sana söylüyorum, elimde büyütecim vardı, Watson!","Ich hab dir doch gesagt, ich hatte mein Vergrößerungsglas in der Hand, Watson!","¡Se lo dije, tenía mi lupa en la mano, Watson!","Eu te disse que estava com a minha lupa nas mãos, Watson!",华生，我跟你说过，放大镜在我手里，,"Ve l'ho detto, avevo la lente d'ingrandimento in mano, Watson!","Я же говорил, у меня в руке было увеличительное стекло, Ватсон!","말했잖나, 왓슨, 방금 전까지 내 손에 돋보기가 있었다고!",さっきまでこの手で握ってた\n虫メガネだぞ、ワトソン！
Chap03LostLoupe02,Sherluck,0.5,,Elle a soudainement disparu.,Ve bir anda kayboldu.,Und plötzlich ist es verschwunden.,Y desapareció de repente.,E ela sumiu de repente.,可它突然就消失了。,E all'improvviso è scomparsa.,И оно внезапно исчезло.,그런데 갑자기 사라지고 말았어.,それが突然消えた。
Chap03LostLoupe03,Narrator,0.2,,"Et voilà, ils s'en sont rendu compte...",Al işte. Ne olduğunu anladılar.,"Na toll, sie haben es herausgefunden.",Ahí está: lo han descubierto.,"Pronto, eles descobriram.",看吧，他们察觉了。,"Ecco, l'hanno capito.","Ну вот, они это заметили.","거 봐요, 알아챘잖아요.",そらみろ、もうバレてる。
Chap03LostLoupe04,WhatsUp,0.2,,Cette voix !,O ses!,Diese Stimme!,¡Esa voz!,Aquela voz!,那个声音！,Quella voce!,Этот голос!,저 목소리!,さっきの声！
Chap03LostLoupe05,WhatsUp,0.5,,"C'est le fantôme, Holmes !","Hayalet bu, Holmes!","Es ist der Geist, Holmes!","¡Es el fantasma, Holmes!","É o fantasma, Holmes!",是鬼，福尔摩斯！,"È il fantasma, Holmes!","Это призрак, Холмс!","유령이야, 홈즈!",幽霊だ、ホームズ！
Chap03LostLoupe06,WhatsUp,0.2,,Le fantôme russe !,Rus hayalet!,Der russische Geist!,¡El fantasma ruso!,O fantasma russo!,俄国鬼！,Il fantasma russo!,Русский призрак!,러시아인 유령이라고!,さっきのロシア人の幽霊！
Chap03LostLoupe07,Narrator,0.5,,Mais je ne suis pas russe !,Ama ben Rus değilim!,Aber ich bin kein Russe!,¡Y dale con que soy ruso!,Mas eu não sou russo!,但我不是俄国人！,Ma non sono russo!,Но я не русский!,난 러시아 사람 아니라고!,俺はロシア人じゃない！
Chap03LostLoupe08,Sherluck,0.2,,"Mr Wilhelm, vous nous aviez caché vos talents de ventriloque.","Bay Wilhelm, bize böyle bir karından konuşma yeteneğinizin olduğunuzu söylememiştiniz.","Mr. Wilhelm, Sie haben uns nie erzählt, dass Sie so ein talentierter Bauchredner sind.","Mr. Wilhelm, nunca nos dijo que fuera tan buen ventrílocuo.","Sr. Wilhelm, você nunca nos disse que era um ventríloquo tão talentoso!",威廉先生，你对我们隐瞒了你的腹语天分呀。,"Mr. Wilhelm, non ci ha mai detto di essere un ventriloquo di talento.","Мистер Вильгельм, вы никогда не говорили нам, что вы такой талантливый чревовещатель.","윌헬름씨, 이렇게 복화술에 뛰어나다고는 말씀 안 하셨잖습니까.",ウィルヘルムさん、腹話術がこれほどお上手とは知りませんでしたよ。
Chap03LostLoupe09,Narrator,0.5,,Ce n'est pas lui qui parle.,Konuşan kişi o değil.,"Es ist nicht derjenige, der spricht.",No es él quien habla.,Não é ele quem está falando.,不是他在说话...,Non è lui che parla.,Это не он говорит.,그 양반이 말하는 거 아니야.,しゃべってるのはそいつじゃない。
Chap03LostLoupe10,Narrator,0.5,,C'est moi.,Ben konuşuyorum.,Ich bin es.,Soy yo.,Sou eu.,是我。,Sono io.,А я.,나라고.,俺だ。
Chap03LostLoupe10b,Narrator,0.5,,Je m'appelle... Jeu.,Benim adım... Oyun.,Mein Name ist ... Spiel.,Me llamo... Juego.,Meu nome é... Jogo.,我的名字是...游戏。,Il mio nome è... Gioco.,Меня зовут... Игра.,내 이름은... 게임이야.,俺の名は…「ゲーム」。
Chap03LostLoupe11,Narrator,0.2,,Je suis un programme informatique.,Ben bir bilgisayar programıyım.,Ich bin ein Computerprogramm.,Soy un programa de ordenador.,Eu sou um programa de computador.,我是一个电脑程序。,Sono un programma per computer.,Я компьютерная программа.,컴퓨터 프로그램이고.,コンピュータープログラムだ。
Chap03LostLoupe12,Narrator,0.2,,"Je suis accompagné d'un utilisateur, humain.","Yanımda bir kullanıcı var, bir insan.","Ich bin hier mit einem User, einem Menschen.","Me acompaña un usuario, un humano.","E estou com um usuário, um humano.",我和一个用户在一起，一个人类。,"Sono con un utente, un umano.",Я с пользователем - человеком.,지금 인간인 유저와 같이 있어.,連れはユーザー、人間だ。
Chap03LostLoupe13,Narrator,0.5,,Et nous cherchons désespérement à rentrer chez nous.,Ve evimize dönmek için elimizden geleni yapıyoruz.,"Und wir versuchen alles, um nach Hause zu kommen.",Y estamos haciendo todo lo posible para volver a casa.,E estamos fazendo tudo que podemos para voltar pra casa.,我们急着要回家呢。,E stiamo cercando in tutti i modi di tornare a casa.,"И мы делаем всё возможное, чтобы вернуться домой.",집에 돌아갈 수 있는 모든 방법을 시도하고 있지.,元いた場所に戻ろうといろいろ試してる。
Chap03LostLoupe13b,Narrator,0.5,,Savez-vous comment nous pouvons quitter votre jeu.,Sizin oyununuzdan nasıl çıkabileceğimizi biliyor musunuz?,"Weißt du, wie wir dein Spiel verlassen können?",¿Sabe cómo podemos salir de su juego?,Vocês sabem como podemos sair do jogo de vocês?,你们知道我们怎样才能退出你们的游戏吗？,Sapete come possiamo uscire dal vostro gioco?,"Вы знаете, как мы можем выйти из вашей игры?",어떻게 너희 게임 끄는 건지 알아?,このゲームから出る方法を知らないか？
Chap03LostLoupe14,WhatsUp,0.2,,Un jeu ? Quel jeu ?,Oyun? Ne oyunu?,Spiel? Was für ein Spiel?,¿Juego? ¿Qué juego?,Jogo? Que jogo?,游戏？什么游戏？,Gioco? Quale gioco?,Игры? Что за игра?,게임? 무슨 게임 말인가?,ゲーム？ 何のゲームだい？
Chap03LostLoupe15,Narrator,1,,"Eh bien, votre jeu.","Imm, sizin oyununuz.","Äh, dein Spiel.",Esto... su juego.,"Errr, o seu jogo.",呃，你们的游戏。,Il vostro gioco.,Э... ваша игра.,"어, 너희 게임.",だから、あんたらのゲーム。
Chap03LostLoupe16,Narrator,1.5,,"Vous êtes bien conscient que le monde où nous nous trouvons est faux, n'est-ce pas ?","İçinde bulunduğumuz dünyanın gerçek olmadığını biliyorsunuz, değil mi?","Dir ist schon klar, dass unsere Welt nicht real ist, oder?","Son conscientes de que el mundo en el que estamos no es real, ¿verdad?","Vocês estão cientes de que o mundo que estamos não é real, não estão?",你意识到我们所在的世界不是真实的吧？,"Siete consapevoli che il mondo in cui ci troviamo non è reale, vero?","Вы ведь знаете, что ваш мир не настоящий, да?",너희 세상이 가짜라는 건 알지?,今いるこの世界が現実じゃないのは知ってるよな？
Chap03LostLoupe17,Narrator,0.5,,"Vous ne savez pas que vous êtes dans un jeu vidéo, c'est ça ?",Bir oyunun içinde olduğunuzu bilmiyorsunuz yani?,"Du weißt nicht, dass du in einem Videospiel steckst, richtig?",¿O es que no sabían que están en un videojuego?,"Vocês não sabem que estão num videogame, é isso?",你不知道你置身一个电子游戏中吗？,"Non sapete di essere in un videogioco, vero?","Вы не знаете, что вы в видеоигре?",너희가 비디오 게임 안에 있다는 거 알아?,自分たちがビデオゲームの中にいるって知らなかった？
Chap03LostLoupe18,Sherluck,0,,Je préfère chercher ma loupe plutôt que d'écouter vos délires Mr Wilhelm.,Sizin deli saçmalıklarınızı dinlemektense büyütecimi aramayı tercih ederim Bay Wilhelm.,"Ich suche lieber nach meinem Vergrößerungsglas, als Ihrem verrückten Gelaber zuzuhören, Mr. Wilhelm.","Prefiero buscar mi lupa que seguir escuchando sus locos parloteos, Mr. Wilhelm.","Eu prefiro procurar a minha lupa em vez de continuar a ouvir as suas loucuras, Sr. Wilhelm.",威廉先生，我宁愿去找我的放大镜，也不想继续听你胡言乱语。,"Preferisco cercare la mia lente d'ingrandimento piuttosto che continuare ad ascoltare i vostri deliri, Mr. Wilhelm.","Я лучше поищу свою лупу, чем буду слушать вашу болтовню, мистер Вильгельм.","돋보기를 찾은 후에 당신이 말하는 정신나간 소리를 듣겠습니다, 윌헬름씨.",わけのわからないうわごとはに付き合うのはもうたくさんだ。ぼくは虫メガネを探してきますよ、ウィルヘルムさん。
Chap03LostLoupe19,Narrator,0.2,,Mais ce n'est pas lui qui...,Ama konuşan o...,Aber er ist nicht derjenige ...,Pero no es él quien...,Mas não é ele quem...,但说话的不是他呀...,Ma non è lui che...,Но это не он...,그 양반 아니라고...,だから、そいつじゃないって…
Chap03LostLoupe20,Narrator,0.2,,"Utilisateur, je crois qu'il va nous falloir l'aide de Mr Glitch.","Kullanıcı, sanırım Bay Hata'nın yardımına ihtiyacımız olacak.","User, ich glaube, wir brauchen Mr. Glitchs Hilfe.","Usuario, creo que vamos a necesitar la ayuda del Mr. Glitch.","Usuário, eu acho que nós vamos precisar da ajuda do Mr. Glitch.",用户，我想我们需要Mr. Glitch的帮助。,"Utente, credo che avremo bisogno dell'aiuto di Mr. Glitch.","Пользователь, думаю, нам понадобится помощь мистера Глюка.","유저님, 미스터 글리치의 도움이 필요할 거 같네요.",ユーザー、ひとつMr.グリッチの力を借りることにしよう。
Chap03LostLoupe21,Narrator,0.2,,"S'il nous a amené dans cette dimension, il pourra surement nous en faire partir.",Eğer bizi buraya o getirdiyse muhtemelen geri de çıkarabilir.,"Wenn er uns in diese Dimension gebracht hat, dann kann er uns wahrscheinlich auch hier rauszubringen.","Si nos trajo a esta dimensión, probablemente pueda sacarnos de ella.","Se ele nos colocou nessa dimensão, ele provavelmente nos consegue tirar daqui.",既然他把我们带进了这个维度，那就很可能可以把我们从这里带走。,"Lui ci ha portato in questa dimensione, probabilmente sarà in grado di farci uscire.","Если он привёл нас в это измерение, он, вероятно, сможет вытащить нас отсюда.","이 차원에 우릴 데려다놨으면, 분명 나가게 하는 법도 알 거예요.",ここに連れてきたのは奴だ。きっと連れ出すこともできるはず。
Chap03LostLoupe23,WhatsUp,0,,C'est quoi un jeu vidéo ?,Video oyunu ne demek?,Was ist ein Videospiel?,¿Qué es un videojuego?,O que é um videogame?,什么是电子游戏？,Cos'è un videogioco?,Что такое видеоигра?,비디오 게임이 뭐지?,ビデオゲームって何だ？
Chap03LostLoupe22,Narrator,0.2,,Il doit bien y avoir un moyen de le décoller.,Onu oradan çıkarmanın bir yolu olmalı.,"Es muss einen Weg geben, es abzukriegen.",Tiene que haber alguna manera de despegarlo.,Deve ter algum jeito de tirá-lo.,肯定有个法子能把Mr. Glitch弄下来。,Ci deve essere un modo per staccarlo!,Должен быть способ убрать эту штуку.,떠날 방법이 있을 거예요.,こいつを引っぺがす方法があるはずだ。
Chap03LostLoupe22b,Narrator,0.5,,Peut-être une sorte de rituel ?,Belki bir tür ritüel olabilir.,Vielleicht eine Art Ritual?,¿Tal vez algún tipo de ritual?,Talvez através de algum ritual?,或许有某种仪式？,Forse una specie di rituale?,"Может, какой-нибудь ритуал?",일종의 의식 같은 거려나?,何かの儀式とか？
Chap03LostLoupe22c,Narrator,0.2,,A moins que vous n'ayez le numéro des pompiers.,Elinde itfaiyenin numarası yoksa tabii ki.,"Es sei denn, du hast die Nummer der Feuerwehr.","A menos que, por supuesto, tengas el número de los bomberos.","A não ser, é claro, que você tem o número dos bombeiros.",当然，如果你有消防局的号码也可以。,"A meno che, ovviamente, non abbiate il numero dei vigili del fuoco.","Если, конечно, у тебя нет номера пожарных.",당신이 소방서 전화번호를 모른다면 말이죠.,消防署の電話番号がわかれば電話してもいいが。
Chap03ClicPhoneOff01,Narrator,0.3,,Ne touchez pas à ça !,Ona dokunma!,Fass das nicht an!,¡No toques eso!,Não encoste nisso!,不要碰那个！,Non toccarlo!,Не трогай это!,그거 만지지 마요!,触るなって！
Chap03ClicPhoneOff02,Narrator,0,,"De toute façon, cet appareil ne semble pas branché...",Zaten o makinenin fişi takılı gibi görünmüyor.,"Diese Maschine sieht eh nicht aus, als sei sie angeschlossen.","De todos modos, no parece que esa máquina esté conectada.","Parece que essa máquina não está conectada, de qualquer forma.",反正那个机器不像是插上了电源。,"Quella macchina non sembra essere collegata, comunque.","В любом случае, не похоже, что устройство подключено.",그 기계 플러그 안 꽂힌 거 같은데요.,どうせ電源にはつながってないみたいだぞ。
Chap03ClicPhone01,Narrator,0,,Arrêtez de faire joujou avec tout ce que vous trouvez.,Önüne gelen her şeyle oynamayı kes!,"Hör auf, an allem herumzuspielen, was du findest.",Deja de jugar con todo lo que encuentras.,Pare de ficar mexendo em tudo que encontra pela frente.,不要瞎弄你遇到的每个东西。,Smettila di giocare con tutto quello trovi.,"Хватит играть со всем, что ты видишь.",돌아다니는 곳마다 장난 좀 치지 마요.,なんでも手あたりしだいにいじるのはよせ。
Chap03ClicPhone02,Narrator,0.5,,Vous allez nous faire remarquer !,Birileri bizi fark edecek!,Jemand wird uns noch bemerken!,¡Vas a hacer que nos descubran!,Alguém vai nos descobrir!,你会让他们发现我们的！,Qualcuno ci noterà!,Кто-нибудь нас заметит!,누군가 알아챌 수도 있다고요!,誰かに気づかれる！
Chap03ClicPhone03,Narrator,0.2,,De toute façon ce n'est qu'une bouillie de pixels.,"Her neyse, burası tam bir piksel çorbası.","Wie auch immer, es ist nur Pixelbrei.","De todos modos, solo es un puñado de píxeles.","Bom, é só um mingau de pixels.",再说了，那只不过是一锅乱七八糟的像素粥！,"Comunque, è solo una poltiglia di pixel.","В любом случае, это просто пиксельная каша.","어쨌건, 이건 그냥 픽셀 덩어리일 뿐이에요.",とにかく、あれはただのピクセルの塊だ。
Chap03ClicPhone04,Narrator,0,,Et je n'ai pas de loupe sur moi !,Ve benim üstümde bir büyüteç yok!,Und ich habe keine Lupe dabei!,¡Y no tengo una lupa!,E eu não tenho uma lupa!,况且我身上没带放大镜！,E non ho una lente d'ingrandimento con me!,И у меня нет с собой лупы!,게다가 지금 저한테 돋보기도 없어서 뭔지 모른다고요!,調べようにも虫メガネがないしな！
Chap03ClicPhoneOff10,Narrator,0.3,,Cet appareil semble hors service.,Bu makine bozuk gibi görünüyor.,Die Maschine scheint außer Betrieb zu sein.,Esta máquina parece fuera de servicio.,Essa máquina parece está fora de funcionamento.,这个机器像是发生了故障。,Questa macchina sembra essere fuori uso.,"Устройство, похоже, вышло из строя.",기계가 고장난 거 같네요.,この機械は動きそうにないな。
Chap03ClicPhoneOff11,Narrator,0,,A moins qu'il ne soit tout simplement pas branché.,Ama fişi takılı olmayabilir de.,"Es sei denn, sie ist einfach nicht angeschlossen.",A menos que simplemente no esté enchufada.,A não ser que ela não esteja conectada.,除非说它只是没有接上插头。,A meno che non sia semplicemente scollegata.,"Может, оно просто не подключено.",플러그를 꽂지 않는 한 작동 안 할 거예요.,電源プラグが抜けてるだけかもしれないが。
